term_str,n,n_chars
nathalie,10,8
there,10,5
jo,10,2
passion,10,7
narcissus,10,9
opening,10,7
because,10,7
opulent,10,7
malone,10,6
famous,10,6
n5,10,2
rosewood,10,8
shot,10,4
morillas,10,8
fifi,10,4
strong,10,6
end,10,3
story,10,5
viva,10,4
200,10,3
now,10,3
beautiful,10,9
chance,10,6
alberto,10,7
ambroxan,10,8
introduced,10,10
harmony,10,7
combination,10,11
bitter,10,6
represents,10,10
vibrant,10,7
developed,10,9
deep,10,4
inspiration,10,11
thierry,10,7
bloom,10,5
provocative,9,11
osmanthus,9,9
hyacinth,9,8
xs,9,2
nuances,9,7
most,9,4
march,9,5
popular,9,7
along,9,5
idea,9,4
80,9,2
cherry,9,6
before,9,6
seduction,9,9
where,9,5
leaves,9,6
english,9,7
life,9,4
launches,9,8
libre,9,5
confidence,9,10
darker,9,6
commercial,9,10
he,9,2
kim,9,3
miss,9,4
attention,9,9
pineapple,9,9
powerful,9,8
francois,9,8
said,9,4
kardashian,9,10
amandine,9,8
sì,9,2
bluebell,9,8
maisondieu,9,10
these,9,5
limited,9,7
petals,9,6
brings,9,6
introduces,9,10
radiant,9,7
than,9,4
outer,9,5
fashion,9,7
creamy,9,6
cooperation,9,11
glow,9,4
girl,9,4
young,9,5
self,9,4
cyclamen,9,8
2014,8,4
antoine,8,7
rouge,8,5
turkish,8,7
no5,8,3
what,8,4
loc,8,3
several,8,7
dong,8,4
clear,8,5
make,8,4
2003,8,4
cresp,8,5
theme,8,5
passionate,8,10
says,8,4
compositions,8,12
strength,8,8
grace,8,5
gel,8,3
opoponax,8,8
alessandro,8,10
cashmeran,8,9
christophe,8,10
2016,8,4
freshness,8,9
winner,8,6
aquatic,8,7
trésor,8,6
encompasses,8,11
creations,8,9
couture,8,7
rare,8,4
launch,8,6
shaped,8,6
strawberry,8,10
designer,8,8
womans,8,6
diamond,8,7
different,8,9
interdit,8,8
always,8,6
captures,8,8
shower,8,6
cap,8,3
amalfi,8,6
laurent,8,7
main,8,4
according,8,9
gives,8,5
quality,8,7
would,8,5
turner,8,6
without,8,7
louise,8,6
trail,8,5
apricot,8,7
style,8,5
michel,8,6
contrast,8,8
cassia,8,6
sensuous,8,8
rochas,8,6
chapter,8,7
editions,8,8
true,8,4
elegance,8,8
romantic,8,8
place,8,5
cologne,8,7
mystery,7,7
then,7,4
sage,7,4
yellow,7,6
up,7,2
paris,7,5
sophisticated,7,13
coffee,7,6
smells,7,6
precious,7,8
1,7,1
include,7,7
michele,7,7
raynaud,7,7
200ml,7,5
brazilian,7,9
coriander,7,9
intensity,7,9
another,7,7
smell,7,5
donna,7,5
good,7,4
olfactory,7,9
august,7,6
styrax,7,6
fig,7,3
captured,7,8
alien,7,5
womanity,7,8
may,7,3
touch,7,5
perfumery,7,9
nomade,7,6
2007,7,4
gabbana,7,7
sweetness,7,9
including,7,9
packaging,7,9
colour,7,6
reveals,7,7
sugar,7,5
flacons,7,7
trussardi,7,9
clove,7,5
details,7,7
extract,7,7
honour,7,6
used,7,4
beginning,7,9
within,7,6
stopper,7,7
musks,7,5
paul,7,4
art,7,3
symbol,7,6
civet,7,5
ring,7,4
elixir,7,6
contains,7,8
clerc,7,5
city,7,4
free,7,4
continues,7,9
madame,7,6
creator,7,7
energy,7,6
euphoria,7,8
saffron,7,7
daring,7,6
50ml,7,4
blanc,7,5
purple,7,6
givenchy,7,8
demachy,7,7
d,7,1
muse,7,4
expression,7,10
smooth,7,6
some,6,4
daphne,6,6
fans,6,4
floz,6,4
pillar,6,6
warmth,6,6
full,6,4
distinctive,6,11
scents,6,6
boucheron,6,9
even,6,4
much,6,4
perfumed,6,8
offers,6,6
bugey,6,5
slightly,6,8
tangerine,6,9
perfect,6,7
reflects,6,8
juice,6,5
amount,6,6
many,6,4
masculine,6,9
aromatic,6,8
parfums,6,7
rhubarb,6,7
honeysuckle,6,11
coumarin,6,8
special,6,7
initial,6,7
2006,6,4
mon,6,3
mademoiselle,6,12
work,6,4
wasser,6,6
characteristic,6,14
praline,6,7
been,6,4
gavarry,6,7
mixed,6,5
photos,6,6
become,6,6
valentino,6,9
pomegranate,6,11
video,6,5
90,6,2
kiwi,6,4
nutmeg,6,6
passionfruit,6,12
every,6,5
tobacco,6,7
evokes,6,6
flanker,6,7
dazzling,6,8
charming,6,8
kenzo,6,5
intensive,6,9
four,6,4
milk,6,4
coty,6,4
lovely,6,6
nuance,6,6
june,6,4
2,6,1
own,6,3
magic,6,5
daltroff,6,8
gaultier,6,8
givaudan,6,8
being,6,5
attractive,6,10
john,6,4
gabrielle,6,9
unusual,6,7
midnight,6,8
side,6,4
colored,6,7
box,6,3
portrait,6,8
following,6,9
day,6,3
amberwood,6,9
beat,6,4
known,6,5
fatale,6,6
private,6,7
clary,6,5
britney,6,7
back,6,4
joy,6,3
sour,6,4
cassis,6,6
bourbon,6,7
amor,6,4
scented,6,7
versense,6,8
tender,6,6
best,6,4
interpretation,6,14
3,6,1
celebrates,6,10
summer,6,6
take,6,4
remix,6,5
sunny,6,5
blood,6,5
advertised,6,10
citrus,6,6
photographer,6,12
ad,6,2
launching,6,9
gentle,6,6
unites,6,6
olympéa,6,7
blended,5,7
blackberry,5,10
spears,5,6
home,5,4
